Date and Time:,2015-05-09 22:22:19.512
Player:,Adam Cole
 
Optimal Path,Actual Path
400.0,563.5
536.0,563.5
592.0,531.5
669.0,411.5
584.0,447.5
393.0,499.5
319.0,375.5
292.0,251.5
330.0,131.5
400.0,239.5
562.0,359.5
629.0,483.5
558.0,523.5
391.0,403.5
158.0,283.5
68.0,163.5
172.0,247.5
405.0,371.5
550.0,491.5
606.0,571.5
538.0,451.5
375.0,347.5
166.0,347.5
94.0,347.5
213.0,395.5
416.0,511.5
569.0,631.5
622.0,667.5
540.0,547.5
394.0,431.5
357.0,335.5
345.0,363.5
366.0,431.5
446.0,395.5
687.0,371.5
750.0,371.5
601.0,371.5
385.0,371.5
