Date and Time:,2015-05-10 16:53:24.332
Player:,Gabe
 
Optimal Path,Actual Path
400.0,403.5
331.0,403.5
448.0,231.5
468.0,221.5
445.0,279.5
382.0,331.5
241.0,375.5
193.0,433.5
271.0,447.5
409.0,299.5
483.0,203.5
508.0,257.5
465.0,315.5
367.0,365.5
217.0,417.5
179.0,473.5
280.0,429.5
400.0,373.5
463.0,205.5
488.0,121.5
460.0,171.5
385.0,135.5
179.0,195.5
104.0,245.5
211.0,307.5
401.0,351.5
411.0,201.5
414.0,171.5
408.0,267.5
328.0,371.5
89.0,483.5
41.0,611.5
209.0,675.5
476.0,551.5
705.0,431.5
743.0,339.5
574.0,411.5
371.0,443.5
314.0,515.5
310.0,599.5
364.0,547.5
465.0,439.5
605.0,323.5
619.0,323.5
504.0,323.5
381.0,203.5
348.0,203.5
346.0,283.5
377.0,395.5
453.0,399.5
556.0,323.5
563.0,363.5
468.0,383.5
382.0,463.5
358.0,535.5
359.0,543.5
385.0,627.5
478.0,671.5
578.0,687.5
568.0,687.5
457.0,573.5
342.0,491.5
283.0,545.5
294.0,483.5
369.0,413.5
478.0,341.5
552.0,301.5
534.0,361.5
433.0,381.5
331.0,445.5
280.0,519.5
303.0,591.5
387.0,601.5
490.0,427.5
567.0,341.5
544.0,411.5
436.0,475.5
345.0,551.5
304.0,603.5
320.0,587.5
387.0,455.5
610.0,319.5
767.0,335.5
704.0,439.5
461.0,515.5
145.0,515.5
63.0,359.5
187.0,331.5
420.0,331.5
528.0,331.5
577.0,439.5
521.0,543.5
396.0,671.5
348.0,555.5
331.0,463.5
355.0,383.5
425.0,279.5
623.0,199.5
715.0,315.5
622.0,423.5
392.0,523.5
197.0,507.5
122.0,543.5
214.0,583.5
413.0,595.5
526.0,585.5
573.0,627.5
513.0,655.5
391.0,615.5
320.0,435.5
298.0,273.5
335.0,99.5
400.0,89.5
567.0,145.5
636.0,209.5
562.0,265.5
381.0,331.5
137.0,363.5
46.0,303.5
170.0,281.5
407.0,293.5
475.0,317.5
496.0,373.5
459.0,427.5
391.0,487.5
353.0,477.5
343.0,417.5
367.0,321.5
428.0,353.5
685.0,381.5
763.0,469.5
623.0,541.5
350.0,529.5
154.0,409.5
107.0,293.5
233.0,181.5
438.0,145.5
590.0,257.5
627.0,361.5
530.0,481.5
335.0,489.5
139.0,421.5
96.0,289.5
231.0,285.5
433.0,301.5
523.0,341.5
540.0,405.5
472.0,405.5
307.0,433.5
93.0,433.5
65.0,369.5
233.0,341.5
468.0,275.5
647.0,231.5
677.0,283.5
543.0,343.5
358.0,403.5
270.0,411.5
257.0,343.5
332.0,317.5
408.0,319.5
428.0,307.5
431.0,361.5
415.0,415.5
381.0,401.5
345.0,395.5
343.0,359.5
374.0,357.5
420.0,361.5
463.0,359.5
464.0,365.5
420.0,383.5
396.0,387.5
394.0,321.5
394.0,249.5
398.0,229.5
412.0,345.5
426.0,469.5
424.0,581.5
406.0,657.5
313.0,541.5
239.0,425.5
265.0,373.5
374.0,373.5
574.0,373.5
693.0,421.5
640.0,533.5
446.0,533.5
382.0,473.5
371.0,433.5
377.0,409.5
396.0,381.5
504.0,381.5
569.0,381.5
535.0,381.5
421.0,381.5
398.0,381.5
398.0,381.5
398.0,357.5
399.0,357.5
417.0,331.5
425.0,337.5
417.0,399.5
398.0,443.5
358.0,377.5
342.0,239.5
361.0,115.5
404.0,177.5
456.0,251.5
477.0,309.5
452.0,367.5
382.0,429.5
148.0,483.5
70.0,363.5
198.0,247.5
416.0,287.5
629.0,343.5
700.0,361.5
583.0,421.5
377.0,479.5
282.0,531.5
255.0,595.5
317.0,617.5
433.0,509.5
576.0,567.5
615.0,625.5
520.0,673.5
397.0,473.5
390.0,383.5
389.0,191.5
394.0,115.5
421.0,159.5
486.0,219.5
500.0,277.5
453.0,337.5
325.0,399.5
124.0,469.5
98.0,461.5
250.0,333.5
515.0,237.5
662.0,273.5
770.0,389.5
655.0,513.5
388.0,637.5
225.0,561.5
165.0,445.5
247.0,321.5
422.0,209.5
609.0,101.5
686.0,133.5
591.0,257.5
374.0,393.5
151.0,509.5
81.0,441.5
198.0,313.5
410.0,269.5
541.0,389.5
586.0,501.5
517.0,593.5
383.0,549.5
277.0,437.5
243.0,365.5
304.0,365.5
436.0,365.5
597.0,409.5
639.0,525.5
537.0,579.5
392.0,649.5
369.0,657.5
364.0,507.5
381.0,339.5
475.0,371.5
712.0,427.5
755.0,465.5
585.0,517.5
383.0,571.5
345.0,589.5
339.0,397.5
369.0,235.5
490.0,129.5
613.0,193.5
694.0,247.5
587.0,299.5
368.0,379.5
163.0,435.5
97.0,303.5
214.0,125.5
400.0,137.5
470.0,199.5
499.0,251.5
470.0,301.5
391.0,355.5
162.0,409.5
73.0,473.5
181.0,439.5
416.0,287.5
550.0,351.5
607.0,395.5
542.0,431.5
396.0,431.5
308.0,343.5
277.0,295.5
322.0,295.5
409.0,295.5
453.0,295.5
475.0,295.5
452.0,339.5
397.0,439.5
334.0,471.5
310.0,351.5
340.0,227.5
407.0,231.5
463.0,355.5
489.0,459.5
461.0,591.5
393.0,635.5
218.0,563.5
156.0,563.5
236.0,703.0
417.0,703.0
632.0,703.0
713.0,703.0
592.0,703.0
363.0,703.0
176.0,703.0
121.0,703.0
229.0,703.0
400.0,694.5
405.0,670.5
406.0,650.5
404.0,630.5
384.0,606.5
269.0,578.5
233.0,558.5
298.0,534.5
423.0,510.5
589.0,486.5
537.0,530.5
589.0,590.5
531.0,546.5
398.0,530.5
356.0,510.5
341.0,386.5
361.0,270.5
408.0,298.5
660.0,298.5
758.0,298.5
640.0,298.5
376.0,703.0
166.0,703.0
101.0,703.0
228.0,618.5
400.0,618.5
558.0,618.5
